text,date,source,month,year,BRIscore,BRIsentiment,tokenized_text
xi vows to promote chinamyanmar partnership,8/19/2016 22:25,globaltimes,8,2016,0.9601,Positive,"['xi', 'vows', 'promote', 'chinamyanmar', 'partnership']"
belt  road plan continued reform can dispel australias concern on chinese investment,8/18/2016 0:43,globaltimes,8,2016,0.9932,Positive,"['belt', 'road', 'plan', 'continued', 'reform', 'dispel', 'australias', 'concern', 'chinese', 'investment']"
trilateral truck caravan leaves tianjin port,8/18/2016 22:03,globaltimes,8,2016,0.959,Positive,"['trilateral', 'truck', 'caravan', 'leaves', 'tianjin', 'port']"
chinamyanmar projects must be equally beneficial,8/17/2016 0:38,globaltimes,8,2016,0.7899,Positive,"['chinamyanmar', 'projects', 'must', 'equally', 'beneficial']"
chinese govt takes steps to maintain steady trade growth,8/17/2016 7:46,globaltimes,8,2016,0.8934,Positive,"['chinese', 'govt', 'takes', 'steps', 'maintain', 'steady', 'trade', 'growth']"
irans nonoil sectors open up to chinese,8/17/2016 22:58,globaltimes,8,2016,0.8733,Positive,"['irans', 'nonoil', 'sectors', 'open', 'chinese']"
nepals new govt wants to strengthen ties with china says deputy pm,8/17/2016 23:13,globaltimes,8,2016,0.4939,Positive,"['nepals', 'new', 'govt', 'wants', 'strengthen', 'ties', 'with', 'china', 'says', 'deputy', 'pm']"
xi calls for advancing belt and road initiative,8/17/2016 23:35,globaltimes,8,2016,0.8074,Positive,"['xi', 'calls', 'advancing', 'belt', 'road', 'initiative']"
china making headway on belt and road initiative,8/16/2016 13:26,globaltimes,8,2016,0.5849,Positive,"['china', 'making', 'headway', 'belt', 'road', 'initiative']"
belt and road initiative making solid progress demonstrating bright prospects li zhaoxing,8/16/2016 21:02,globaltimes,8,2016,0.8176,Positive,"['belt', 'road', 'initiative', 'making', 'solid', 'progress', 'demonstrating', 'bright', 'prospects', 'li', 'zhaoxing']"
new silk roads tell the story of asia,8/15/2016 23:23,globaltimes,8,2016,0.9992,Positive,"['new', 'silk', 'roads', 'tell', 'story', 'asia']"
thai military seeks balance between stability and growth for peaceful future,8/15/2016 23:28,globaltimes,8,2016,0.8465,Positive,"['thai', 'military', 'seeks', 'balance', 'stability', 'growth', 'peaceful', 'future']"
all aboard,8/14/2016 23:33,globaltimes,8,2016,0.4019,Positive,['aboard']
state council nods new openingup pilot zone in southwest china,8/13/2016 8:16,globaltimes,8,2016,0.9153,Positive,"['state', 'council', 'nods', 'new', 'openingup', 'pilot', 'zone', 'southwest', 'china']"
more freight trains at manzhouli,8/11/2016 0:18,globaltimes,8,2016,0.6124,Positive,"['freight', 'trains', 'manzhouli']"
kenyan president meets chinese fm hails bilateral ties,8/11/2016 9:56,globaltimes,8,2016,0.9393,Positive,"['kenyan', 'president', 'meets', 'chinese', 'fm', 'hails', 'bilateral', 'ties']"
true action needed to address globalization backlash,8/11/2016 23:23,globaltimes,8,2016,0.9198,Positive,"['true', 'action', 'needed', 'address', 'globalization', 'backlash']"
chinas largest land border port sees increase in freight,8/10/2016 18:08,globaltimes,8,2016,0.743,Positive,"['chinas', 'largest', 'land', 'border', 'port', 'sees', 'increase', 'freight']"
china should boost rcep strategic value,8/10/2016 23:28,globaltimes,8,2016,0.8283,Positive,"['china', 'boost', 'rcep', 'strategic', 'value']"
overseas chinese firms must learn to control political risks,8/9/2016 23:13,globaltimes,8,2016,0.9976,Positive,"['overseas', 'chinese', 'firms', 'must', 'learn', 'control', 'political', 'risks']"
expert says upcoming g20 summit important opportunity to better understand china,8/8/2016 8:46,globaltimes,8,2016,0.9788,Positive,"['expert', 'says', 'upcoming', 'g20', 'summit', 'important', 'opportunity', 'better', 'understand', 'china']"
china to play crucial role for worlds sustainable future mexican experts,8/7/2016 10:23,globaltimes,8,2016,0.9558,Positive,"['china', 'play', 'crucial', 'role', 'worlds', 'sustainable', 'future', 'mexican', 'experts']"
its a book party,8/7/2016 18:38,globaltimes,8,2016,0.998,Positive,"['book', 'party']"
china asean eye even closer economic ties after over 2 decades of winwin cooperation,8/6/2016 21:26,globaltimes,8,2016,0.3182,Positive,"['china', 'asean', 'eye', 'even', 'closer', 'economic', 'ties', '2', 'decades', 'winwin', 'cooperation']"
china vows to deepen economic trade cooperation with asean,8/5/2016 11:15,globaltimes,8,2016,0.8519,Positive,"['china', 'vows', 'deepen', 'economic', 'trade', 'cooperation', 'with', 'asean']"
china supports globalization multilateral trade to fight downside risks,8/5/2016 18:05,globaltimes,8,2016,0.9169,Positive,"['china', 'supports', 'globalization', 'multilateral', 'trade', 'fight', 'downside', 'risks']"
forum cites medias role in belt and road,7/28/2016 0:58,globaltimes,7,2016,0.6486,Positive,"['forum', 'cites', 'medias', 'role', 'belt', 'road']"
xi urges enhanced capacity to fight disaster during tangshan inspection,7/28/2016 20:32,globaltimes,7,2016,0.6597,Positive,"['xi', 'urges', 'enhanced', 'capacity', 'fight', 'disaster', 'tangshan', 'inspection']"
active policies broaden chinas diplomacy,7/28/2016 23:48,globaltimes,7,2016,0.6908,Positive,"['active', 'policies', 'broaden', 'chinas', 'diplomacy']"
serbia open to chinese investment amid ongoing privatization drive,7/27/2016 21:33,globaltimes,7,2016,0.9887,Positive,"['serbia', 'open', 'chinese', 'investment', 'amid', 'ongoing', 'privatization', 'drive']"
president xi urges media to promote belt and road,7/26/2016 20:08,globaltimes,7,2016,0.8176,Positive,"['president', 'xi', 'urges', 'media', 'promote', 'belt', 'road']"
china pakistan pledge to further develop economic corridor,7/25/2016 22:36,globaltimes,7,2016,0.6597,Positive,"['china', 'pakistan', 'pledge', 'develop', 'economic', 'corridor']"
2000passage benchmark passed by chinaeurope freight train service,7/23/2016 2:42,globaltimes,7,2016,0.9749,Positive,"['2000passage', 'benchmark', 'passed', 'chinaeurope', 'freight', 'train', 'service']"
china to speed up efforts to implement sustainable development agenda,7/21/2016 15:01,globaltimes,7,2016,0.6369,Positive,"['china', 'speed', 'efforts', 'implement', 'sustainable', 'development', 'agenda']"
chinas belt and road initiative conducive to efforts to carry out un sustainable development agenda,7/20/2016 9:32,globaltimes,7,2016,0.6486,Positive,"['chinas', 'belt', 'road', 'initiative', 'conducive', 'efforts', 'carry', 'un', 'sustainable', 'development', 'agenda']"
better talent management key to success in overseas market,7/20/2016 22:58,globaltimes,7,2016,0.9899,Positive,"['better', 'talent', 'management', 'key', 'success', 'overseas', 'market']"
80 believe citizens should actively support country poll,7/19/2016 0:48,globaltimes,7,2016,0.8834,Positive,"['80', 'believe', 'citizens', 'actively', 'support', 'country', 'poll']"
china turkey united by antiterror cause,7/19/2016 23:42,globaltimes,7,2016,0.6908,Positive,"['china', 'turkey', 'united', 'antiterror', 'cause']"
nonfinancial outbound fdi jumps 587 in h1 mofcom,7/19/2016 22:13,globaltimes,7,2016,0.945,Positive,"['nonfinancial', 'outbound', 'fdi', 'jumps', '587', 'h1', 'mofcom']"
zhangjiakou to host international academic seminar in august,7/17/2016 18:03,globaltimes,7,2016,0.9393,Positive,"['zhangjiakou', 'host', 'international', 'academic', 'seminar', 'august']"
eurasia devt could dispel misunderstandings,7/15/2016 0:43,globaltimes,7,2016,0.9145,Positive,"['eurasia', 'devt', 'could', 'dispel', 'misunderstandings']"
belt and road should avoid regional fta pitfalls,7/15/2016 0:58,globaltimes,7,2016,0.2617,Positive,"['belt', 'road', 'avoid', 'regional', 'fta', 'pitfalls']"
sinogreek collaboration important to greeks change into significant global player greek pm,7/15/2016 9:25,globaltimes,7,2016,0.836,Positive,"['sinogreek', 'collaboration', 'important', 'greeks', 'change', 'significant', 'global', 'player', 'greek', 'pm']"
mongolias role cited in euroasian links,7/14/2016 1:58,globaltimes,7,2016,0.9656,Positive,"['mongolias', 'role', 'cited', 'euroasian', 'links']"
chinese firms struggle amid mongolias sluggish economy,7/14/2016 17:28,globaltimes,7,2016,0.5719,Positive,"['chinese', 'firms', 'struggle', 'amid', 'mongolias', 'sluggish', 'economy']"
tribunal award on schina sea complicates things but further talks can take place italian expert,7/14/2016 23:22,globaltimes,7,2016,0.8074,Positive,"['tribunal', 'award', 'schina', 'sea', 'complicates', 'things', 'talks', 'take', 'place', 'italian', 'expert']"
china wants to see prosperous stable eu britain xi,7/13/2016 8:39,globaltimes,7,2016,0.7906,Positive,"['china', 'wants', 'see', 'prosperous', 'stable', 'eu', 'britain', 'xi']"
"chinese premiers visit to open new chapter for chinamongolia ties further 
asem development  ambassador",7/12/2016 14:04,globaltimes,7,2016,0.7579,Positive,"['chinese', 'premiers', 'visit', 'open', 'new', 'chapter', 'chinamongolia', 'ties', 'asem', 'development', 'ambassador']"
sea arbitration real test for neighboring states,7/12/2016 19:48,globaltimes,7,2016,0.9985,Positive,"['sea', 'arbitration', 'real', 'test', 'neighboring', 'states']"
china wants prosperous stable eu britain xi,7/12/2016 23:56,globaltimes,7,2016,0.7906,Positive,"['china', 'wants', 'prosperous', 'stable', 'eu', 'britain', 'xi']"
asem performs well in bringing together asia europe european expert,7/11/2016 6:50,globaltimes,7,2016,0.9443,Positive,"['asem', 'performs', 'well', 'bringing', 'together', 'asia', 'europe', 'european', 'expert']"
foreign experts marvel at rapid development of tibet,7/10/2016 11:30,globaltimes,7,2016,0.4939,Positive,"['foreign', 'experts', 'marvel', 'rapid', 'development', 'tibet']"
lhasa forum points way for tibet,7/9/2016 0:08,globaltimes,7,2016,0.9022,Positive,"['lhasa', 'forum', 'points', 'way', 'tibet']"
officials urge regional cooperation between china russia,7/7/2016 0:23,globaltimes,7,2016,0.981,Positive,"['officials', 'urge', 'regional', 'cooperation', 'china', 'russia']"
china greece eye further belt and road cooperation via piraeus port,7/6/2016 9:25,globaltimes,7,2016,0.91,Positive,"['china', 'greece', 'eye', 'belt', 'road', 'cooperation', 'via', 'piraeus', 'port']"
beijings afghan aid orientated toward belt road strategy peace process,7/6/2016 22:18,globaltimes,7,2016,0.9186,Positive,"['beijings', 'afghan', 'aid', 'orientated', 'toward', 'belt', 'road', 'strategy', 'peace', 'process']"
chinas role in bangladesh railroad revamp could be a win for india too,7/5/2016 0:18,globaltimes,7,2016,0.8519,Positive,"['chinas', 'role', 'bangladesh', 'railroad', 'revamp', 'could', 'win', 'india']"
direct flight to resume between afghanistan china after 3year hiatus,7/5/2016 8:30,globaltimes,7,2016,0.7906,Positive,"['direct', 'flight', 'resume', 'afghanistan', 'china', '3year', 'hiatus']"
china can lead at g20 hangzhou summit us expert,7/4/2016 16:53,globaltimes,7,2016,0.8689,Positive,"['china', 'lead', 'g20', 'hangzhou', 'summit', 'us', 'expert']"
230 chinese students in egypt win loving xinjiang scholarships,7/4/2016 22:54,globaltimes,7,2016,0.926,Positive,"['230', 'chinese', 'students', 'egypt', 'win', 'loving', 'xinjiang', 'scholarships']"
malaysias minister hails winwin relations with china under belt and road initiative,7/3/2016 14:10,globaltimes,7,2016,0.4588,Positive,"['malaysias', 'minister', 'hails', 'winwin', 'relations', 'with', 'china', 'belt', 'road', 'initiative']"
on 10th anniversary of worlds highest railway new lines planned in tibet,7/3/2016 21:23,globaltimes,7,2016,0.9938,Positive,"['10th', 'anniversary', 'worlds', 'highest', 'railway', 'new', 'lines', 'planned', 'tibet']"
sinorussian deals should be realistic,7/3/2016 23:18,globaltimes,7,2016,0.5994,Positive,"['sinorussian', 'deals', 'realistic']"
indias political goals hinder cooperation with china on belt road,7/3/2016 23:23,globaltimes,7,2016,0.8441,Positive,"['indias', 'political', 'goals', 'hinder', 'cooperation', 'with', 'china', 'belt', 'road']"
chinese communist party lauded for strength achievements on 95th birthday,7/1/2016 18:14,globaltimes,7,2016,0.8519,Positive,"['chinese', 'communist', 'party', 'lauded', 'strength', 'achievements', '95th', 'birthday']"
china saudi arabia vow to enhance economic cooperation,6/30/2016 22:52,globaltimes,6,2016,0.6908,Positive,"['china', 'saudi', 'arabia', 'vow', 'enhance', 'economic', 'cooperation']"
brexits positive impact on chinauk economic ties stands to improve trade with eu,6/29/2016 0:33,globaltimes,6,2016,0.5984,Positive,"['brexits', 'positive', 'impact', 'chinauk', 'economic', 'ties', 'stands', 'improve', 'trade', 'with', 'eu']"
a to z of chinas diplomacy under xis leadership,6/29/2016 8:15,globaltimes,6,2016,0.7783,Positive,"['z', 'chinas', 'diplomacy', 'xis', 'leadership']"
growth in chinas consumption during transition adds vitality to global growth,6/28/2016 0:33,globaltimes,6,2016,0.9118,Positive,"['growth', 'chinas', 'consumption', 'transition', 'adds', 'vitality', 'global', 'growth']"
china russia to strengthen global stability,6/27/2016 0:53,globaltimes,6,2016,0.802,Positive,"['china', 'russia', 'strengthen', 'global', 'stability']"
belt and road initiative links chinas development with that of serbia poland uzbekistan,6/26/2016 14:45,globaltimes,6,2016,0.4939,Positive,"['belt', 'road', 'initiative', 'links', 'chinas', 'development', 'with', 'serbia', 'poland', 'uzbekistan']"
turkey agrees chinas stance for resolving disputes via dialogue,6/25/2016 10:54,globaltimes,6,2016,0.9571,Positive,"['turkey', 'agrees', 'chinas', 'stance', 'resolving', 'disputes', 'via', 'dialogue']"
kyrgyz experts discuss silk road economic belt initiative,6/25/2016 11:19,globaltimes,6,2016,0.5267,Positive,"['kyrgyz', 'experts', 'discuss', 'silk', 'road', 'economic', 'belt', 'initiative']"
chinarussia economic ties forging ahead,6/25/2016 11:22,globaltimes,6,2016,0.7003,Positive,"['chinarussia', 'economic', 'ties', 'forging', 'ahead']"
sco summit to strengthen trade security,6/24/2016 1:08,globaltimes,6,2016,0.9545,Positive,"['sco', 'summit', 'strengthen', 'trade', 'security']"
xi putin meet on promoting scos regional role,6/24/2016 8:26,globaltimes,6,2016,0.9153,Positive,"['xi', 'putin', 'meet', 'promoting', 'scos', 'regional', 'role']"
afghanistan willing to join aiib president,6/24/2016 16:10,globaltimes,6,2016,0.8126,Positive,"['afghanistan', 'willing', 'join', 'aiib', 'president']"
chinese president calls for steady implementation of major cooperation projects with belarus,6/24/2016 17:37,globaltimes,6,2016,0.4522,Positive,"['chinese', 'president', 'calls', 'steady', 'implementation', 'major', 'cooperation', 'projects', 'with', 'belarus']"
deepening sco cooperation by carrying forward the shanghai spirit and cementing unity and mutual trust,6/24/2016 20:31,globaltimes,6,2016,0.95,Positive,"['deepening', 'sco', 'cooperation', 'carrying', 'forward', 'shanghai', 'spirit', 'cementing', 'unity', 'mutual', 'trust']"
xi calls for building green intelligent peaceful silk road,6/23/2016 0:53,globaltimes,6,2016,0.9217,Positive,"['xi', 'calls', 'building', 'green', 'intelligent', 'peaceful', 'silk', 'road']"
xinijiang expo exhibits silk road leadership,6/23/2016 1:03,globaltimes,6,2016,0.6527,Positive,"['xinijiang', 'expo', 'exhibits', 'silk', 'road', 'leadership']"
xis state visit upgrades chinauzbekistan relations,6/23/2016 8:25,globaltimes,6,2016,0.7096,Positive,"['xis', 'state', 'visit', 'upgrades', 'chinauzbekistan', 'relations']"
xis speech bolsters confidence in development of uzbekistan and beyond,6/23/2016 8:30,globaltimes,6,2016,0.875,Positive,"['xis', 'speech', 'bolsters', 'confidence', 'development', 'uzbekistan', 'beyond']"
working together for new glories of the silk road,6/23/2016 9:18,globaltimes,6,2016,0.9723,Positive,"['working', 'together', 'new', 'glories', 'silk', 'road']"
xi jinping the belt and road initiative produced positive outcomes in diverse fields,6/23/2016 9:21,globaltimes,6,2016,0.6808,Positive,"['xi', 'jinping', 'belt', 'road', 'initiative', 'produced', 'positive', 'outcomes', 'diverse', 'fields']"
putin eyes eeuchina fta amid regional consensus on silk road cooperation,6/23/2016 15:54,globaltimes,6,2016,0.6808,Positive,"['putin', 'eyes', 'eeuchina', 'fta', 'amid', 'regional', 'consensus', 'silk', 'road', 'cooperation']"
cartoon commentary xis europeasia tour â¥ new impetus for comprehensive chinauzbekistan cooperation,6/23/2016 16:42,globaltimes,6,2016,0.7964,Positive,"['cartoon', 'commentary', 'xis', 'europeasia', 'tour', 'â\x91¥', 'new', 'impetus', 'comprehensive', 'chinauzbekistan', 'cooperation']"
unionpay international expands presence in uzbekistan,6/23/2016 22:49,globaltimes,6,2016,0.6808,Positive,"['unionpay', 'international', 'expands', 'presence', 'uzbekistan']"
scos influence not yet fully unleashed,6/23/2016 23:33,globaltimes,6,2016,0.4767,Positive,"['scos', 'influence', 'not', 'yet', 'fully', 'unleashed']"
chinas expanding banks must internationalize,6/22/2016 0:13,globaltimes,6,2016,0.4404,Positive,"['chinas', 'expanding', 'banks', 'must', 'internationalize']"
chinese president starts uzbekistan visit in historical city bukhara,6/22/2016 0:49,globaltimes,6,2016,0.6249,Positive,"['chinese', 'president', 'starts', 'uzbekistan', 'visit', 'historical', 'city', 'bukhara']"
chinese president starts uzbekistan visit in historical city bukhara,6/22/2016 8:29,globaltimes,6,2016,0.6249,Positive,"['chinese', 'president', 'starts', 'uzbekistan', 'visit', 'historical', 'city', 'bukhara']"
chinese official calls for pragmatic cooperation in belt and road initiative,6/22/2016 9:18,globaltimes,6,2016,0.9392,Positive,"['chinese', 'official', 'calls', 'pragmatic', 'cooperation', 'belt', 'road', 'initiative']"
chinese romanian senior officials meet to further enhance bilateral ties,6/22/2016 9:19,globaltimes,6,2016,0.2732,Positive,"['chinese', 'romanian', 'senior', 'officials', 'meet', 'enhance', 'bilateral', 'ties']"
backgrounder qamchiq tunnel longest railway tunnel in central asia,6/22/2016 14:14,globaltimes,6,2016,0.6597,Positive,"['backgrounder', 'qamchiq', 'tunnel', 'longest', 'railway', 'tunnel', 'central', 'asia']"
shanghai spirit draws new members to join sco,6/22/2016 14:37,globaltimes,6,2016,0.6486,Positive,"['shanghai', 'spirit', 'draws', 'new', 'members', 'join', 'sco']"
chinese envoy calls for intl efforts to improve security in afghanistan,6/22/2016 17:59,globaltimes,6,2016,0.8074,Positive,"['chinese', 'envoy', 'calls', 'intl', 'efforts', 'improve', 'security', 'afghanistan']"
time for the sco to look beyond security cooperation,6/22/2016 22:52,globaltimes,6,2016,0.7579,Positive,"['time', 'sco', 'look', 'beyond', 'security', 'cooperation']"
belt and road construction yields progress,6/22/2016 23:18,globaltimes,6,2016,0.4215,Positive,"['belt', 'road', 'construction', 'yields', 'progress']"
china poland issue joint communique on upgrading ties,6/21/2016 0:57,globaltimes,6,2016,0.5859,Positive,"['china', 'poland', 'issue', 'joint', 'communique', 'upgrading', 'ties']"
china poland upgrade ties sign mous,6/21/2016 1:13,globaltimes,6,2016,0.3612,Positive,"['china', 'poland', 'upgrade', 'ties', 'sign', 'mous']"
china poland raise ties to comprehensive strategic partnership,6/21/2016 10:01,globaltimes,6,2016,0.3612,Positive,"['china', 'poland', 'raise', 'ties', 'comprehensive', 'strategic', 'partnership']"
sco succeeds regionally globally despite global turbulence russian experts,6/21/2016 13:47,globaltimes,6,2016,0.5423,Positive,"['sco', 'succeeds', 'regionally', 'globally', 'despite', 'global', 'turbulence', 'russian', 'experts']"
china poland issue joint communique on upgrading ties,6/21/2016 15:44,globaltimes,6,2016,0.5859,Positive,"['china', 'poland', 'issue', 'joint', 'communique', 'upgrading', 'ties']"
belt road a boon to central eastern europe,6/20/2016 0:18,globaltimes,6,2016,0.8591,Positive,"['belt', 'road', 'boon', 'central', 'eastern', 'europe']"
poland eyed as europe link,6/20/2016 0:18,globaltimes,6,2016,0.5994,Positive,"['poland', 'eyed', 'europe', 'link']"
chinaserbia relations lifted to comprehensive strategic partnership,6/20/2016 17:42,globaltimes,6,2016,0.8807,Positive,"['chinaserbia', 'relations', 'lifted', 'comprehensive', 'strategic', 'partnership']"
china poland lift ties to comprehensive strategic partnership,6/20/2016 22:14,globaltimes,6,2016,0.9287,Positive,"['china', 'poland', 'lift', 'ties', 'comprehensive', 'strategic', 'partnership']"
india industry park to help smes,6/20/2016 23:38,globaltimes,6,2016,0.8018,Positive,"['india', 'industry', 'park', 'help', 'smes']"
china serbia stress sovereignty and territorial integrity,6/19/2016 13:49,globaltimes,6,2016,0.5423,Positive,"['china', 'serbia', 'stress', 'sovereignty', 'territorial', 'integrity']"
translation forum begins,6/18/2016 1:18,globaltimes,6,2016,0.4767,Positive,"['translation', 'forum', 'begins']"
xi visit brings belt road to balkans,6/18/2016 1:18,globaltimes,6,2016,0.7003,Positive,"['xi', 'visit', 'brings', 'belt', 'road', 'balkans']"
memories possibilities link china and serbia,6/18/2016 1:23,globaltimes,6,2016,0.9509,Positive,"['memories', 'possibilities', 'link', 'china', 'serbia']"
chinacee practical cooperation witnesses significant progress,6/18/2016 12:05,globaltimes,6,2016,0.9022,Positive,"['chinacee', 'practical', 'cooperation', 'witnesses', 'significant', 'progress']"
belt and road ties belgrade closer to beijings friendship,6/17/2016 0:53,globaltimes,6,2016,0.7964,Positive,"['belt', 'road', 'ties', 'belgrade', 'closer', 'beijings', 'friendship']"
china eyes silk road countries for its beidou satellite system,6/17/2016 0:58,globaltimes,6,2016,0.6908,Positive,"['china', 'eyes', 'silk', 'road', 'countries', 'beidou', 'satellite', 'system']"
serbian metal industry regains vitality with chinese investment,6/17/2016 14:58,globaltimes,6,2016,0.6801,Positive,"['serbian', 'metal', 'industry', 'regains', 'vitality', 'with', 'chinese', 'investment']"
serbia leads chinacee cooperation on belt and road,6/17/2016 15:00,globaltimes,6,2016,0.9477,Positive,"['serbia', 'leads', 'chinacee', 'cooperation', 'belt', 'road']"
kyrgyzstan fully supports chinas silk road economic belt initiative pm,6/17/2016 15:21,globaltimes,6,2016,0.9665,Positive,"['kyrgyzstan', 'fully', 'supports', 'chinas', 'silk', 'road', 'economic', 'belt', 'initiative', 'pm']"
xis visit to further lift great walllike chinaserbia friendship,6/17/2016 17:05,globaltimes,6,2016,0.8658,Positive,"['xis', 'visit', 'lift', 'great', 'walllike', 'chinaserbia', 'friendship']"
belt and road initiative to meet russias development needs,6/17/2016 23:07,globaltimes,6,2016,0.5106,Positive,"['belt', 'road', 'initiative', 'meet', 'russias', 'development', 'needs']"
china to cement ties with europe central asia during xis visits,6/16/2016 16:28,globaltimes,6,2016,0.7096,Positive,"['china', 'cement', 'ties', 'with', 'europe', 'central', 'asia', 'xis', 'visits']"
czechs ambassador to china see great opportunities in belt and road initiative,6/16/2016 18:13,globaltimes,6,2016,0.7717,Positive,"['czechs', 'ambassador', 'china', 'see', 'great', 'opportunities', 'belt', 'road', 'initiative']"
full text of chinese presidents signed article on serbian newspaper,6/16/2016 22:58,globaltimes,6,2016,0.2732,Positive,"['full', 'text', 'chinese', 'presidents', 'signed', 'article', 'serbian', 'newspaper']"
china preparing for new era of space economy,6/16/2016 23:12,globaltimes,6,2016,0.6124,Positive,"['china', 'preparing', 'new', 'era', 'space', 'economy']"
sco boasts great vitality and bright prospects secretarygeneral,6/15/2016 23:45,globaltimes,6,2016,0.7845,Positive,"['sco', 'boasts', 'great', 'vitality', 'bright', 'prospects', 'secretarygeneral']"
criticism of cpec is proof of progress,6/13/2016 0:08,globaltimes,6,2016,0.5182,Positive,"['criticism', 'cpec', 'proof', 'progress']"
cosco vessel berths at piraeus port on way to historic transit through expanded panama canal,6/12/2016 9:45,globaltimes,6,2016,0.7096,Positive,"['cosco', 'vessel', 'berths', 'piraeus', 'port', 'way', 'historic', 'transit', 'expanded', 'panama', 'canal']"
toplevel design will further expand chinagermany cooperation,6/12/2016 16:59,globaltimes,6,2016,0.91,Positive,"['toplevel', 'design', 'expand', 'chinagermany', 'cooperation']"
chinese vice premier vows cooperation with south asian countries,6/12/2016 22:30,globaltimes,6,2016,0.8957,Positive,"['chinese', 'vice', 'premier', 'vows', 'cooperation', 'with', 'south', 'asian', 'countries\x7f']"
12th asiaeurope finance ministers meeting calls for regional connectivity,6/11/2016 11:47,globaltimes,6,2016,0.9927,Positive,"['12th', 'asiaeurope', 'finance', 'ministers', 'meeting', 'calls', 'regional', 'connectivity']"
first chinacee cultural forum concludes with appeal for more cooperation,6/7/2016 9:26,globaltimes,6,2016,0.9382,Positive,"['first', 'chinacee', 'cultural', 'forum', 'concludes', 'with', 'appeal', 'cooperation']"
great wall of selfisolation claim cannot be further from truth,6/7/2016 19:53,globaltimes,6,2016,0.9681,Positive,"['great', 'wall', 'selfisolation', 'claim', 'not', 'truth']"
is hks role as a financing hub being taken by singapore,6/5/2016 22:58,globaltimes,6,2016,0.802,Positive,"['hks', 'role', 'financing', 'hub', 'taken', 'singapore']"
china oman political advisors meet on ties,6/3/2016 22:02,globaltimes,6,2016,0.7845,Positive,"['china', 'oman', 'political', 'advisors', 'meet', 'ties']"
china cambodia pledge closer friendship,6/3/2016 22:28,globaltimes,6,2016,0.5574,Positive,"['china', 'cambodia', 'pledge', 'closer', 'friendship']"
kabul seeks asia links not competition,6/1/2016 22:48,globaltimes,6,2016,0.5423,Positive,"['kabul', 'seeks', 'asia', 'links', 'not', 'competition']"
belt and road cooperation,5/31/2016 22:43,globaltimes,5,2016,0.5859,Positive,"['belt', 'road', 'cooperation']"
powers combined,5/30/2016 10:17,globaltimes,5,2016,0.3612,Positive,"['powers', 'combined']"
icbc to continue support belt and road projects official,5/27/2016 9:05,globaltimes,5,2016,0.8271,Positive,"['icbc', 'continue', 'support', 'belt', 'road', 'projects', 'official']"
xi makes landmark visit to sinorussian border,5/27/2016 9:05,globaltimes,5,2016,0.2732,Positive,"['xi', 'makes', 'landmark', 'visit', 'sinorussian', 'border']"
one belt one road to bring new opportunities to silk road countries,5/26/2016 9:39,globaltimes,5,2016,0.9961,Positive,"['one', 'belt', 'one', 'road', 'bring', 'new', 'opportunities', 'silk', 'road', 'countries']"
chinese fm makes fivepronged proposal for sco development,5/26/2016 9:39,globaltimes,5,2016,0.8957,Positive,"['chinese', 'fm', 'makes', 'fivepronged', 'proposal', 'sco', 'development']"
humanitarian challenges push ngos into devising new methods of aid,5/24/2016 23:33,globaltimes,5,2016,0.8158,Positive,"['humanitarian', 'challenges', 'push', 'ngos', 'devising', 'new', 'methods', 'aid']"
global firms prepare for asean changes over belt and road initiative report,5/23/2016 17:35,globaltimes,5,2016,0.3612,Positive,"['global', 'firms', 'prepare', 'asean', 'changes', 'belt', 'road', 'initiative', 'report']"
opening financial market a vital strategy for china,5/22/2016 22:43,globaltimes,5,2016,0.998,Positive,"['opening', 'financial', 'market', 'vital', 'strategy', 'china']"
development path will lead tibet to brighter future,5/22/2016 23:38,globaltimes,5,2016,0.8947,Positive,"['development', 'path', 'lead', 'tibet', 'brighter', 'future']"
chinese polish experts discuss chances brought by belt and road initiative,5/22/2016 23:38,globaltimes,5,2016,0.9975,Positive,"['chinese', 'polish', 'experts', 'discuss', 'chances', 'brought', 'belt', 'road', 'initiative']"
eu china hold roundtable discussion on belt  road initiative,5/20/2016 8:59,globaltimes,5,2016,0.6369,Positive,"['eu', 'china', 'hold', 'roundtable', 'discussion', 'belt', 'road', 'initiative']"
zhang meets hk opposition,5/20/2016 8:59,globaltimes,5,2016,0.5423,Positive,"['zhang', 'meets', 'hk', 'opposition']"
consultative bodies of eu china discuss belt and road plans,5/19/2016 0:43,globaltimes,5,2016,0.7351,Positive,"['consultative', 'bodies', 'eu', 'china', 'discuss', 'belt', 'road', 'plans']"
belt and road initiative a game changer in asiapacific unescap,5/19/2016 9:41,globaltimes,5,2016,0.4215,Positive,"['belt', 'road', 'initiative', 'game', 'changer', 'asiapacific', 'unescap']"
belt and road initiative responds to call of times top chinese legislator,5/18/2016 14:04,globaltimes,5,2016,0.6486,Positive,"['belt', 'road', 'initiative', 'responds', 'call', 'times', 'top', 'chinese', 'legislator']"
hong kong can serve as super connector chief executive,5/18/2016 14:06,globaltimes,5,2016,0.7579,Positive,"['hong', 'kong', 'serve', 'super', 'connector', 'chief', 'executive']"
chinas top legislator calls on hk to seize opportunities created by belt and road initiative,5/18/2016 15:05,globaltimes,5,2016,0.886,Positive,"['chinas', 'top', 'legislator', 'calls', 'hk', 'seize', 'opportunities', 'created', 'belt', 'road', 'initiative']"
